file,line,pattern,verdict,is_live_path,explanation,context
scripts\phase29_absolute_truth_audit.py,440,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"""future_mae"","
scripts\phase29_absolute_truth_audit.py,452,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"""sample(n=300, replace=True"","
scripts\phase29_absolute_truth_audit.py,721,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"sampled_months = pd.Series(base[""month""].unique()).sample(frac=1.0, replace=True, random_state=29).t"
scripts\phase29_absolute_truth_audit.py,939,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"sample = rng.choice(pnl_values, size=len(pnl_values), replace=True)"
scripts\phase29_absolute_truth_audit.py,1102,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"The active strategy template code did not show `is_winner` in the signal path, but benchmark runners"
scripts\phase31_1_runner.py,87,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"(""is_winner"",          ""VIOLATION"",  ""Outcome label — live lookahead""),"
scripts\phase31_1_runner.py,88,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"(""future_pnl"",         ""VIOLATION"",  ""Future PnL used as feature""),"
scripts\phase31_1_runner.py,89,future_return,HISTORICAL_REFERENCE,False,Future return used as feature,"(""future_return"",      ""VIOLATION"",  ""Future return used as feature""),"
scripts\phase31_1_runner.py,90,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"(""future_mfe"",         ""VIOLATION"",  ""Future MFE used as feature""),"
scripts\phase31_1_runner.py,91,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"(""future_mae"",         ""VIOLATION"",  ""Future MAE used as feature""),"
scripts\phase31_1_runner.py,92,teacher_label,HISTORICAL_REFERENCE,False,Teacher label used as live feature,"(""teacher_label"",      ""VIOLATION"",  ""Teacher label used as live feature""),"
scripts\phase31_1_runner.py,93,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"(""replace=True"",       ""VIOLATION"",  ""Fake trade sampling""),"
scripts\phase31_1_runner.py,94,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"("".sample(n="",         ""VIOLATION"",  ""Trade sampling — possible fake expansion""),"
scripts\phase31_1_runner.py,95,pnl_81_calc = pnl_81,HISTORICAL_REFERENCE,False,Direct metric assignment without computation,"(""pnl_81_calc = pnl_81"", ""VIOLATION"", ""Direct metric assignment without computation""),"
scripts\phase31_1_runner.py,537,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,- is_winner labels
scripts\phase31_1_runner.py,538,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,- future_pnl / future_return
scripts\phase31_1_runner.py,538,future_return,HISTORICAL_REFERENCE,False,Future return used as feature,- future_pnl / future_return
scripts\phase31_1_runner.py,1226,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase31_1_runner.py,1226,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase31_1_runner.py,1226,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase31_1_runner.py,1226,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase32_runner.py,106,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"(""is_winner"",           ""VIOLATION"", ""Outcome label — live lookahead""),"
scripts\phase32_runner.py,107,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"(""future_pnl"",          ""VIOLATION"", ""Future PnL used as feature""),"
scripts\phase32_runner.py,108,future_return,HISTORICAL_REFERENCE,False,Future return used as feature,"(""future_return"",       ""VIOLATION"", ""Future return used as feature""),"
scripts\phase32_runner.py,109,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"(""future_mfe"",          ""VIOLATION"", ""Future MFE used as feature""),"
scripts\phase32_runner.py,110,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"(""future_mae"",          ""VIOLATION"", ""Future MAE used as feature""),"
scripts\phase32_runner.py,111,teacher_label,HISTORICAL_REFERENCE,False,Teacher label used as live feature,"(""teacher_label"",       ""VIOLATION"", ""Teacher label used as live feature""),"
scripts\phase32_runner.py,112,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"(""replace=True"",        ""VIOLATION"", ""Fake trade sampling""),"
scripts\phase32_runner.py,113,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"("".sample(n="",          ""VIOLATION"", ""Trade sampling — possible fake expansion""),"
scripts\phase32_runner.py,114,pnl_81_calc = pnl_81,HISTORICAL_REFERENCE,False,Direct metric assignment without computation,"(""pnl_81_calc = pnl_81"",""VIOLATION"", ""Direct metric assignment without computation""),"
scripts\phase32_runner.py,238,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"drop_idx = d.sample(n=n_drop, random_state=42).index"
scripts\phase32_runner.py,243,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"cancel_idx = d.sample(n=n_cancel, random_state=43).index"
scripts\phase32_runner.py,1532,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase32_runner.py,1532,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase32_runner.py,1532,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
scripts\phase32_runner.py,1532,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live"
src\research\phase16_2_runner.py,89,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase16_2_runner.py,109,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_1_runner.py,162,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_1_runner.py,181,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_1_runner.py,245,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"is_winner = row[""net_pnl""] > 0"
src\research\phase17_1_runner.py,251,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,passes_gate = is_winner and rescues_zero
src\research\phase17_1_runner.py,258,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""result"": ""WIN"" if is_winner else ""LOSS"","
src\research\phase17_2_runner.py,6,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"- Audit the ""is_winner"" problem and revert final live-ready benchmark to Variant C Core."
src\research\phase17_2_runner.py,159,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_2_runner.py,178,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_2_runner.py,212,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"is_winner = row[""net_pnl""] > 0"
src\research\phase17_2_runner.py,214,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,passes_gate = is_winner and rescues_zero
src\research\phase17_2_runner.py,221,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""result"": ""WIN"" if is_winner else ""LOSS"","
src\research\phase17_2_runner.py,353,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""> The selection audit for **Precision Fusion 1.1** revealed that its 4 B-unique rescue trades depen"
src\research\phase17_2_runner.py,416,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""\n### Research-Only B-Rescue Trades (Selected with is_winner)"","
src\research\phase17_3_runner.py,162,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_3_runner.py,181,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_runner.py,185,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase18_1_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase18_1_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase18_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase18_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase19_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase19_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase20_1_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase20_1_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase20_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase20_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase21_runner.py,126,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase21_runner.py,139,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,169,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,182,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,403,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src\research\phase22_runner.py,403,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src\research\phase23_1_runner.py,107,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_1_runner.py,120,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,107,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,120,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,587,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,| Closed-candle rules | is_winner / lookahead triage | Future leakage invalidates research |
src\research\phase24_1_runner.py,101,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase24_1_runner.py,113,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,100,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,112,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,156,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase25_1_runner.py,156,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase25_1_runner.py,403,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""is_winner"", ""found"": ""NO"", ""status"": ""P"
src\research\phase25_1_runner.py,404,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""future_pnl"", ""found"": ""NO"", ""status"": """
src\research\phase25_runner.py,101,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_runner.py,113,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,102,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,114,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,153,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_1_runner.py,153,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_1_runner.py,166,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase26_1_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase26_1_runner.py,283,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""is_winner"", ""occurrences"": 0, ""status"": ""CLEAN"""
src\research\phase26_1_runner.py,284,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""future_pnl"", ""occurrences"": 0, ""status"": ""CLEAN"
src\research\phase26_runner.py,105,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_runner.py,117,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_runner.py,166,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase27_runner.py,102,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase27_runner.py,114,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase27_runner.py,153,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase27_runner.py,153,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase27_runner.py,166,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase27_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase28_runner.py,99,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase28_runner.py,111,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase28_runner.py,150,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase28_runner.py,150,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase28_runner.py,163,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase28_runner.py,163,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase28_runner.py,326,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"{""rule"": ""is_winner"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src\research\phase28_runner.py,327,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"{""rule"": ""future_pnl"", ""occurrences"": 0, ""status"": ""CLEAN""},"
tests\test_phase17_1_realism.py,20,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"is_winner = t[""pnl""] > 0"
tests\test_phase17_1_realism.py,22,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,passes_gate = is_winner and rescues_zero
tests\test_phase21_realism.py,7,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,- no `is_winner` in source files
tests\test_phase21_realism.py,93,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,def test_no_is_winner_in_sources(self):
tests\test_phase21_realism.py,95,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,Scan ACTIVE code directories for is_winner usage.
tests\test_phase21_realism.py,97,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,is_winner was documented as a detected problem and explicitly removed
tests\test_phase21_realism.py,118,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"if ""is_winner"" in line and not line.strip().startswith(""#""):"
tests\test_phase21_realism.py,121,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""is_winner found in ACTIVE strategy/engine code:\n"" + ""\n"".join(found)"
tests\test_phase21_realism.py,126,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase21_realism.py,126,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase21_realism.py,126,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase21_realism.py,162,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase21_realism.py,162,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase22_realism.py,82,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,def test_no_is_winner_in_active_sources(self):
tests\test_phase22_realism.py,100,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"if ""is_winner"" in line and not line.strip().startswith(""#""):"
tests\test_phase22_realism.py,102,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"assert len(found) == 0, f""is_winner lookahead found: {found}"""
tests\test_phase22_realism.py,106,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase22_realism.py,106,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase22_realism.py,106,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"forbidden = [""future_pnl"", ""future_r"", ""future_mfe"", ""future_mae"", ""monthly_result""]"
tests\test_phase23_1_realism.py,103,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase23_1_realism.py,103,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase23_realism.py,94,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase23_realism.py,94,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"forbidden = [""is_winner"", ""future_pnl"", ""hardcoded_month""]"
tests\test_phase29_1_truth_first_recovery.py,94,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"for forbidden in [""is_winner"", ""future_pnl"", ""future_mfe"", ""future_mae"", ""selected_trade_ids""]:"
tests\test_phase29_1_truth_first_recovery.py,94,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"for forbidden in [""is_winner"", ""future_pnl"", ""future_mfe"", ""future_mae"", ""selected_trade_ids""]:"
tests\test_phase29_1_truth_first_recovery.py,94,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"for forbidden in [""is_winner"", ""future_pnl"", ""future_mfe"", ""future_mae"", ""selected_trade_ids""]:"
