file,line,pattern,verdict,explanation,is_live_path,context
scripts\phase29_absolute_truth_audit.py,436,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""is_winner"","
scripts\phase29_absolute_truth_audit.py,437,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"""future_pnl"","
scripts\phase29_absolute_truth_audit.py,438,future_return,HISTORICAL_REFERENCE,Future return used as feature,False,"""future_return"","
scripts\phase29_absolute_truth_audit.py,439,future_mfe,HISTORICAL_REFERENCE,Future MFE used as feature,False,"""future_mfe"","
scripts\phase29_absolute_truth_audit.py,440,future_mae,HISTORICAL_REFERENCE,Future MAE used as feature,False,"""future_mae"","
scripts\phase29_absolute_truth_audit.py,447,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"""diff_pnl"","
scripts\phase29_absolute_truth_audit.py,448,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"""pnl_81 = 31250.80"","
scripts\phase29_absolute_truth_audit.py,452,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"""sample(n=300, replace=True"","
scripts\phase29_absolute_truth_audit.py,479,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"""diff_pnl"","
scripts\phase29_absolute_truth_audit.py,480,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"""pnl_81"","
scripts\phase29_absolute_truth_audit.py,491,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"key in lower for key in [""pnl_81"", ""pf_81"", ""dd_81"", ""ca_81"", ""diff_pnl""]"
scripts\phase29_absolute_truth_audit.py,491,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"key in lower for key in [""pnl_81"", ""pf_81"", ""dd_81"", ""ca_81"", ""diff_pnl""]"
scripts\phase29_absolute_truth_audit.py,721,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"sampled_months = pd.Series(base[""month""].unique()).sample(frac=1.0, replace=True, random_state=29).tolist()"
scripts\phase29_absolute_truth_audit.py,939,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"sample = rng.choice(pnl_values, size=len(pnl_values), replace=True)"
scripts\phase29_absolute_truth_audit.py,1102,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"The active strategy template code did not show `is_winner` in the signal path, but benchmark runners use hardcoded outpu"
scripts\phase31_1_runner.py,87,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"(""is_winner"",          ""VIOLATION"",  ""Outcome label — live lookahead""),"
scripts\phase31_1_runner.py,88,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"(""future_pnl"",         ""VIOLATION"",  ""Future PnL used as feature""),"
scripts\phase31_1_runner.py,89,future_return,HISTORICAL_REFERENCE,Future return used as feature,False,"(""future_return"",      ""VIOLATION"",  ""Future return used as feature""),"
scripts\phase31_1_runner.py,90,future_mfe,HISTORICAL_REFERENCE,Future MFE used as feature,False,"(""future_mfe"",         ""VIOLATION"",  ""Future MFE used as feature""),"
scripts\phase31_1_runner.py,91,future_mae,HISTORICAL_REFERENCE,Future MAE used as feature,False,"(""future_mae"",         ""VIOLATION"",  ""Future MAE used as feature""),"
scripts\phase31_1_runner.py,92,teacher_label,HISTORICAL_REFERENCE,Teacher label used as live feature,False,"(""teacher_label"",      ""VIOLATION"",  ""Teacher label used as live feature""),"
scripts\phase31_1_runner.py,93,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"(""replace=True"",       ""VIOLATION"",  ""Fake trade sampling""),"
scripts\phase31_1_runner.py,94,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"("".sample(n="",         ""VIOLATION"",  ""Trade sampling — possible fake expansion""),"
scripts\phase31_1_runner.py,95,pnl_81_calc = pnl_81,HISTORICAL_REFERENCE,Direct metric assignment without computation,False,"(""pnl_81_calc = pnl_81"", ""VIOLATION"", ""Direct metric assignment without computation""),"
scripts\phase31_1_runner.py,95,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"(""pnl_81_calc = pnl_81"", ""VIOLATION"", ""Direct metric assignment without computation""),"
scripts\phase31_1_runner.py,96,11205.20,HISTORICAL_REFERENCE,Hardcoded PnL — verify not in live path,False,"(""11205.20"",           ""REVIEW"",     ""Hardcoded PnL — verify not in live path""),"
scripts\phase31_1_runner.py,97,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"(""pnl_81"",             ""REVIEW"",     ""Known invalid benchmark reference""),"
scripts\phase31_1_runner.py,98,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"(""pnl_70"",             ""REVIEW"",     ""Known invalid benchmark reference""),"
scripts\phase31_1_runner.py,99,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"(""pnl_80"",             ""REVIEW"",     ""Known invalid benchmark reference""),"
scripts\phase31_1_runner.py,100,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"(""diff_pnl"",           ""REVIEW"",     ""Forced PnL delta pattern""),"
scripts\phase31_1_runner.py,352,11205.20,HISTORICAL_REFERENCE,Hardcoded PnL — verify not in live path,False,"{""metric"": ""net_pnl"",             ""recomputed"": rm[""net_pnl""],             ""phase31_claimed"": 11205.20,  ""diff"": rm[""net"
scripts\phase31_1_runner.py,537,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,- is_winner labels
scripts\phase31_1_runner.py,538,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,- future_pnl / future_return
scripts\phase31_1_runner.py,538,future_return,HISTORICAL_REFERENCE,Future return used as feature,False,- future_pnl / future_return
scripts\phase31_1_runner.py,845,11205.20,HISTORICAL_REFERENCE,Hardcoded PnL — verify not in live path,False,"""net_pnl"": 11205.20,"
scripts\phase31_1_runner.py,1226,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live routing feature."
scripts\phase31_1_runner.py,1226,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live routing feature."
scripts\phase31_1_runner.py,1226,future_mfe,HISTORICAL_REFERENCE,Future MFE used as feature,False,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live routing feature."
scripts\phase31_1_runner.py,1226,future_mae,HISTORICAL_REFERENCE,Future MAE used as feature,False,"5. **Do not use `is_winner`, `future_pnl`, `future_mfe`, `future_mae`, or future dates** in any live routing feature."
scripts\phase31_1_runner.py,1369,11205.20,HISTORICAL_REFERENCE,Hardcoded PnL — verify not in live path,False,"| Net PnL | $11,205.20 | ${router_rm['net_pnl']:,.2f} | {""OK"" if abs(router_rm['net_pnl'] - 11205.20) < 5 else ""DISCREPA"
scripts\phase31_1_runner.py,1551,11205.20,HISTORICAL_REFERENCE,Hardcoded PnL — verify not in live path,False,"pnl_ok = abs(router_rm[""net_pnl""] - 11205.20) < 100"
src\research\phase16_2_runner.py,89,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase16_2_runner.py,109,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_1_runner.py,162,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_1_runner.py,181,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_1_runner.py,245,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"is_winner = row[""net_pnl""] > 0"
src\research\phase17_1_runner.py,251,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,passes_gate = is_winner and rescues_zero
src\research\phase17_1_runner.py,258,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""result"": ""WIN"" if is_winner else ""LOSS"","
src\research\phase17_2_runner.py,6,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"- Audit the ""is_winner"" problem and revert final live-ready benchmark to Variant C Core."
src\research\phase17_2_runner.py,159,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_2_runner.py,178,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_2_runner.py,212,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"is_winner = row[""net_pnl""] > 0"
src\research\phase17_2_runner.py,214,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,passes_gate = is_winner and rescues_zero
src\research\phase17_2_runner.py,221,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""result"": ""WIN"" if is_winner else ""LOSS"","
src\research\phase17_2_runner.py,353,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""> The selection audit for **Precision Fusion 1.1** revealed that its 4 B-unique rescue trades depend on `is_winner` (fu"
src\research\phase17_2_runner.py,416,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""\n### Research-Only B-Rescue Trades (Selected with is_winner)"","
src\research\phase17_3_runner.py,162,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_3_runner.py,181,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase17_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase17_runner.py,185,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase18_1_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase18_1_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase18_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase18_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase19_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase19_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase20_1_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase20_1_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase20_runner.py,160,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b_sample = t_b_filtered.sample(n=416, random_state=42).copy()"
src\research\phase20_runner.py,179,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c_sample = t_c_filtered.sample(n=318, random_state=42).copy()"
src\research\phase21_runner.py,126,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase21_runner.py,139,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,169,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,182,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase22_runner.py,403,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src\research\phase22_runner.py,403,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"if any(w in p_str for w in [""is_winner"", ""future_pnl"", ""hardcoded_month""]):"
src\research\phase23_1_runner.py,107,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_1_runner.py,120,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,107,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,120,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase23_runner.py,587,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,| Closed-candle rules | is_winner / lookahead triage | Future leakage invalidates research |
src\research\phase24_1_runner.py,101,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase24_1_runner.py,113,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,100,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,112,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_1_runner.py,156,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase25_1_runner.py,156,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase25_1_runner.py,169,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src\research\phase25_1_runner.py,170,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src\research\phase25_1_runner.py,172,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"pnl_70, pf_70, dd_70, pos_70, neg_70, zero_70, monthly_70 = calc_metrics(pf70)"
src\research\phase25_1_runner.py,179,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,pnl_70 = 29386.59
src\research\phase25_1_runner.py,194,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"print(f""  [OK] Precision Fusion 7.0 Truth Lock Successful: PnL=${pnl_70:.2f} Trades={len(pf70)} PF={pf_70:.2f} DD={dd_70"
src\research\phase25_1_runner.py,210,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"{""strategy"": ""Precision Fusion 7.0"", ""pnl"": pnl_70, ""trades"": len(pf70), ""pf"": pf_70, ""dd"": dd_70, ""months_pos_neg_zero"""
src\research\phase25_1_runner.py,403,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""is_winner"", ""found"": ""NO"", ""status"": ""PASS""},"
src\research\phase25_1_runner.py,404,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"{""file_checked"": ""src/strategies/candidates.py"", ""keyword"": ""future_pnl"", ""found"": ""NO"", ""status"": ""PASS""},"
src\research\phase25_1_runner.py,413,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"{""month"": ""2020-03"", ""pnl_12"": -550.00, ""pnl_70"": 150.20, ""trades_12"": 5, ""trades_70"": 9, ""comparison"": ""IMPROVED (conve"
src\research\phase25_1_runner.py,414,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"{""month"": ""2020-07"", ""pnl_12"": 0.00, ""pnl_70"": 850.50, ""trades_12"": 0, ""trades_70"": 12, ""comparison"": ""IMPROVED (zero-mo"
src\research\phase25_runner.py,101,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase25_runner.py,113,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,102,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,114,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_1_runner.py,153,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_1_runner.py,153,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_1_runner.py,162,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src\research\phase26_1_runner.py,163,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src\research\phase26_1_runner.py,166,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase26_1_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
src\research\phase26_1_runner.py,175,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"diff_pnl_80 = 30580.40 - pf80[""net_pnl""].sum()"
src\research\phase26_1_runner.py,175,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"diff_pnl_80 = 30580.40 - pf80[""net_pnl""].sum()"
src\research\phase26_1_runner.py,176,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"pf80.loc[pf80.index[0], ""net_pnl""] += diff_pnl_80"
src\research\phase26_1_runner.py,176,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"pf80.loc[pf80.index[0], ""net_pnl""] += diff_pnl_80"
src\research\phase26_1_runner.py,283,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""is_winner"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src\research\phase26_1_runner.py,284,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"{""file"": ""src/strategies/candidates.py"", ""pattern"": ""future_pnl"", ""occurrences"": 0, ""status"": ""CLEAN""},"
src\research\phase26_1_runner.py,347,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"r_pnl_70, r_pf_70, r_dd_70, r_tr_70, _, _, _, r_v_70 = run_stress_scenario(pf70, f_m, s_m, del_s, m_pct)"
src\research\phase26_1_runner.py,349,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"r_pnl_80, r_pf_80, r_dd_80, r_tr_80, _, _, _, r_v_80 = run_stress_scenario(pf80, f_m, s_m, del_s, m_pct)"
src\research\phase26_1_runner.py,357,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"""pf70_pnl"": round(r_pnl_70 if sc_name != ""normal"" else 29386.59, 2),"
src\research\phase26_1_runner.py,361,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"""pf80_pnl"": round(r_pnl_80 if sc_name != ""normal"" else 30580.40, 2),"
src\research\phase26_runner.py,105,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_b = trades_sorted.iloc[:-60].sample(n=416, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_runner.py,117,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_c = trades_sorted.iloc[:-80].sample(n=318, random_state=42).sort_values(by=""entry_time"").copy()"
src\research\phase26_runner.py,166,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_runner.py,166,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
src\research\phase26_runner.py,176,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"diff_pnl = 29386.59 - pf70[""net_pnl""].sum()"
src\research\phase26_runner.py,177,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"pf70.loc[pf70.index[0], ""net_pnl""] += diff_pnl"
src\research\phase26_runner.py,179,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"pnl_70, pf_70, dd_70, pos_70, neg_70, zero_70, monthly_70 = calc_metrics(pf70)"
src\research\phase26_runner.py,182,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,pnl_70 = 29386.59
src\research\phase26_runner.py,190,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"pd.DataFrame([{""strategy"": ""PF70"", ""pnl"": pnl_70, ""trades"": 625, ""pf"": 2.28, ""dd"": 0.1150, ""stress"": 18250.40}]).to_csv("
src\research\phase26_runner.py,390,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,pnl_80 = 30580.40
src\research\phase26_runner.py,409,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,- **Net PnL:** ${pnl_80:.2f}
src\research\phase26_runner.py,449,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"{""scenario"": ""Base Setup"", ""pnl"": pnl_80, ""pf"": pf_80, ""dd"": dd_80, ""status"": ""PASS""},"
