idea_id,family,name,hypothesis,target_problem,target_benchmark,expected_live_known_features,required_timeframe,entry_logic,exit_logic,risk_logic,why_it_might_work,why_it_might_fail,lookahead_risk,hardcoding_risk,live_known_safety,expected_pnl_impact,expected_pf_impact,expected_dd_impact,expected_stress_impact,expected_trade_count_impact,implementation_complexity,overfit_risk,data_requirement,test_priority,strategy_family,candidate_template_compatibility
IDEA_012,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 12,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 12 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.600.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.30,-15.0%,6/15 PASS,-20%,Low,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_013,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 13,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 13 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.650.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.40,-12.0%,7/15 PASS,-25%,Medium,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_014,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 14,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 14 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.700.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.50,-9.0%,8/15 PASS,-30%,High,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_015,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 15,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 15 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.750.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.60,-15.0%,9/15 PASS,-10%,Low,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_016,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 16,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 16 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.800.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.30,-12.0%,6/15 PASS,-15%,Medium,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_017,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 17,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 17 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.850.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.40,-9.0%,7/15 PASS,-20%,High,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_018,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 18,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 18 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.900.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.50,-15.0%,8/15 PASS,-25%,Low,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_019,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 19,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 19 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.950.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.60,-12.0%,9/15 PASS,-30%,Medium,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_020,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 20,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 20 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 1.000.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.30,-9.0%,6/15 PASS,-10%,High,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_021,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 21,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 21 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 1.050.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.40,-15.0%,7/15 PASS,-15%,Low,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_022,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 22,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 22 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 1.100.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.50,-12.0%,8/15 PASS,-20%,Medium,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_023,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 23,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 23 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 1.150.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.60,-9.0%,9/15 PASS,-25%,High,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_024,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 24,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 24 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 1.200.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.30,-15.0%,6/15 PASS,-30%,Low,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_025,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 25,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 25 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 1.250.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.40,-12.0%,7/15 PASS,-10%,Medium,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_026,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 1,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 1 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.050.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.50,-9.0%,8/15 PASS,-15%,High,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_027,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 2,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 2 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.100.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.60,-15.0%,9/15 PASS,-20%,Low,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_028,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 3,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 3 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.150.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.30,-12.0%,6/15 PASS,-25%,Medium,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_029,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 4,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 4 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.200.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.40,-9.0%,7/15 PASS,-30%,High,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_030,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 5,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 5 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.250.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.50,-15.0%,8/15 PASS,-10%,Low,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_031,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 6,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 6 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.300.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.60,-12.0%,9/15 PASS,-15%,Medium,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_032,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 7,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 7 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.350.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.30,-9.0%,6/15 PASS,-20%,High,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_033,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 8,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 8 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.400.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.40,-15.0%,7/15 PASS,-25%,Low,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_034,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 9,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 9 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.450.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.50,-12.0%,8/15 PASS,-30%,Medium,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_035,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 10,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 10 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.500.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.60,-9.0%,9/15 PASS,-10%,High,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_036,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 11,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 11 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.550.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.30,-15.0%,6/15 PASS,-15%,Low,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_037,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 12,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 12 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.600.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.40,-12.0%,7/15 PASS,-20%,Medium,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_038,Strategy #1.1 Improvement Ideas,Strategy #1.1 Improvement Ideas Variant 13,Using Optimizations for candidate P37_CAND_0357 with parameter threshold index 13 filters false signals.,Volatility regimes in bear months for Strategy #1.1 Improvement Ideas.,Strategy #1.1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.650.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1.1 Improvement Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.50,-9.0%,8/15 PASS,-25%,High,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
