file_path,line,pattern,reason_allowed,classification,review_note,can_import_active_strategy
scripts\phase32_runner.py,106,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,107,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,108,future_return,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,109,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,110,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,111,teacher_label,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,112,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,113,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,114,pnl_81_calc = pnl_81,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,238,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,243,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,1532,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,1532,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,1532,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase32_runner.py,1532,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase16_2_runner.py,89,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase16_2_runner.py,109,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_1_runner.py,162,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_1_runner.py,181,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_1_runner.py,245,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_1_runner.py,251,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_1_runner.py,258,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,6,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,159,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,178,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,212,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,214,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,221,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,353,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_2_runner.py,416,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_3_runner.py,162,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_3_runner.py,181,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_runner.py,166,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase17_runner.py,185,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase18_1_runner.py,160,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase18_1_runner.py,179,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase18_runner.py,160,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase18_runner.py,179,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase19_runner.py,160,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase19_runner.py,179,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase20_1_runner.py,160,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase20_1_runner.py,179,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase20_runner.py,160,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase20_runner.py,179,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase21_runner.py,126,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase21_runner.py,139,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase22_runner.py,169,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase22_runner.py,182,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase22_runner.py,403,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase22_runner.py,403,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase23_1_runner.py,107,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase23_1_runner.py,120,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase23_runner.py,107,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase23_runner.py,120,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase23_runner.py,587,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase24_1_runner.py,101,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase24_1_runner.py,113,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,100,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,112,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,156,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,156,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,403,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_1_runner.py,404,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_runner.py,101,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase25_runner.py,113,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,102,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,114,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,153,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,153,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,166,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,166,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,283,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_1_runner.py,284,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_runner.py,105,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_runner.py,117,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_runner.py,166,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase26_runner.py,166,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,102,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,114,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,153,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,153,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,166,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase27_runner.py,166,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,99,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,111,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,150,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,150,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,163,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,163,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,326,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
src\research\phase28_runner.py,327,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase17_1_realism.py,20,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase17_1_realism.py,22,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,7,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,93,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,95,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,97,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,118,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
tests\test_phase21_realism.py,121,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
