artifact_path,artifact_type,phase,description,file_hash_sha256_12,size_kb,git_tracked,validation_status,sha256,exists,status
reports/phase29_5_pf12_executable_router_trade_log.csv,trade_log,29.5,PF1.2 executable router trade log (114KB),computed_on_read,113.6,YES,ENGINE_PROGRESS,,,
reports/phase29_6_true_5m_event_driven_mtf_engine_report.md,main_report,29.6,True 5m event-driven MTF engine report,computed_on_read,3.9,YES,ENGINE_PROGRESS,,,
reports/phase29_6_audit_manifest.json,manifest,29.6,Phase 29.6 audit manifest,computed_on_read,3.0,YES,VALID,,,
reports/phase29_6_pf12_mtf_trade_log.csv,trade_log,29.6,5m MTF engine trace log — 3111 trades (1.7MB),computed_on_read,1755.5,YES,ENGINE_PROGRESS,,,
reports/phase29_6_pf12_mtf_engine_results.csv,proof_csv,29.6,PF1.2 MTF engine summary results,computed_on_read,0.8,YES,ENGINE_PROGRESS,,,
reports/phase29_6_execution_rule_recovery_audit.csv,proof_csv,29.6,31 recovered execution rules,computed_on_read,17.8,YES,VALID,,,
reports/phase29_6_entry_model_results.csv,proof_csv,29.6,Entry model test results,computed_on_read,3.2,YES,ENGINE_PROGRESS,,,
reports/phase29_6_exit_model_results.csv,proof_csv,29.6,Exit model test results,computed_on_read,1.9,YES,ENGINE_PROGRESS,,,
reports/phase29_6_finalist_stress_results.csv,proof_csv,29.6,Finalist stress test results,computed_on_read,3.6,YES,ENGINE_PROGRESS,,,
reports/phase29_6_router_conflict_audit.csv,proof_csv,29.6,Router conflict audit (6MB),computed_on_read,6096.2,YES,ENGINE_PROGRESS,,,
reports/phase28_pf81_truth_lock.csv,proof_csv,28,PF8.1 truth lock (INVALID — forced),computed_on_read,0.073,YES,INVALID_FORCED_METRIC,,,
reports/phase28_audit_manifest.json,manifest,28,Phase 28 audit manifest,computed_on_read,0.869,YES,INVALID_FORCED_METRIC,,,
src/backtest/engine.py,source_code,core,Backtest engine — MultiPositionBacktestEngine,computed_on_read,60.3,YES,PRODUCTION,,,
src/strategies/candidates.py,source_code,core,Strategy template library,computed_on_read,95.9,YES,PRODUCTION,,,
src/features/indicators.py,source_code,core,Indicator library (ATR/BB/VWAP/RSI/EMA),computed_on_read,8.2,YES,PRODUCTION,,,
src/research/phase12_runner.py,source_code,12,PF1.2 constructor — build_p10_1_strategy(),computed_on_read,27.2,YES,TEACHER_REFERENCE,,,
scripts/phase29_6_event_driven_mtf_engine.py,script,29.6,True 5m event-driven MTF engine script,computed_on_read,,YES,ENGINE_PROGRESS,,,
reports/phase30_1_research_lab_architecture_audit.md,main_report,30.1,Architecture audit report,computed_on_read,4.4,YES,VALID,,,
reports/phase30_1_research_lab_and_idea_engine_os_report.md,main_report,30.1,Phase 30.1 summary report,computed_on_read,5.2,YES,VALID,,,
reports/phase30_1_audit_manifest.json,manifest,30.1,Phase 30.1 file hash manifest,computed_on_read,2.5,YES,VALID,,,
reports/phase30_1_idea_library.csv,proof_csv,30.1,15 strategy family ideas catalog,computed_on_read,14.1,YES,VALID,,,
reports/phase30_1_sample_candidate_registry.csv,proof_csv,30.1,Compiled candidate registry CSV,computed_on_read,3.1,YES,VALID,,,
reports/phase30_1_audit_engine_scan.csv,proof_csv,30.1,Automated codebase rule scan,computed_on_read,17.6,YES,VALID,,,
reports/phase30_1_execution_queue_smoke_test.csv,proof_csv,30.1,Queue execution smoke test log,computed_on_read,1.3,YES,VALID,,,
reports/phase30_1_report_validator_results.csv,proof_csv,30.1,Report validator run outcomes,computed_on_read,13.8,YES,VALID,,,
reports/phase31_strategy_metric_breakthrough_report.md,main_report,31,Strategy metric breakthrough report,computed_on_read,1.7,YES,VALID,,,
reports/phase31_audit_manifest.json,manifest,31,Phase 31 audit manifest,computed_on_read,2.0,YES,VALID,,,
reports/phase31_teacher_trade_replay.csv,proof_csv,31,Replay analysis of 325 teacher trades,computed_on_read,65.6,YES,VALID,,,
reports/phase31_teacher_replay_summary.csv,proof_csv,31,Summary stats for teacher trade replay,computed_on_read,0.3,YES,VALID,,,
reports/phase31_metric_weakness_map.csv,proof_csv,31,Weakness map comparing 1h floor vs 5m engine vs replay,computed_on_read,0.3,YES,VALID,,,
reports/phase31_strategy_idea_library.csv,proof_csv,31,Generated strategy ideas for metric breakthrough,computed_on_read,6.4,YES,VALID,,,
reports/phase31_candidate_registry.csv,proof_csv,31,Registry of 1000 generated candidates,computed_on_read,316.3,YES,VALID,,,
reports/phase31_candidate_results.csv,proof_csv,31,Backtest results of 350 executed candidates,computed_on_read,138.9,YES,VALID,,,
reports/phase31_best_router_trade_log.csv,trade_log,31,Trade log of the constructed best router,computed_on_read,227.2,YES,VALID,,,
reports/phase31_best_router_monthly_table.csv,proof_csv,31,Monthly PnL breakdown of the best router,computed_on_read,2.1,YES,VALID,,,
reports/phase31_best_router_stress_table.csv,proof_csv,31,Stress scenario results of the best router,computed_on_read,1.5,YES,VALID,,,
reports/phase31_live_automation_audit.md,main_report,31,Live automation safety audit for best router,computed_on_read,0.7,YES,VALID,,,
scripts/phase31_runner.py,script,31,Runner script for Phase 31 strategy metrics,computed_on_read,28.0,YES,VALID,,,
tests/test_phase31_strategy_metric_breakthrough.py,source_code,31,Unit tests for Phase 31 strategy metrics,computed_on_read,4.5,YES,VALID,,,
reports/phase33_cost_robustness_edge_thickening_and_fusion_upgrade_report.md,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,9437897dcbcf,2.4,YES,VALID,,,
reports/phase33_memory_truth_repair.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,102a6932002e,1.0,YES,VALID,,,
reports/phase33_cost_sensitivity_trade_audit.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,d654f9e4db90,239.9,YES,VALID,,,
reports/phase33_edge_thickness_report.md,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,524494f959a0,0.7,YES,VALID,,,
reports/phase33_stress_failure_root_cause.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,07cf4a9a08d7,12.2,YES,VALID,,,
reports/phase33_repair_module_design.md,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,d8e2278b8c3f,0.8,YES,VALID,,,
reports/phase33_repair_module_results.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,562bbba17ae2,6.9,YES,VALID,,,
reports/phase33_candidate_registry.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,43861c6c84b2,269.2,YES,VALID,,,
reports/phase33_candidate_results.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,3b6a2266e641,580.4,YES,VALID,,,
reports/phase33_candidate_diversity_report.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,f6679a7535d9,0.2,YES,VALID,,,
reports/phase33_finalist_candidate_proof_pack.md,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,10de8af4e57a,2.1,YES,VALID,,,
reports/phase33_fusion_results.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,76fdf8af7295,4.4,YES,VALID,,,
reports/phase33_best_fusion_trade_log.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,85b4c71f1ed3,47.9,YES,VALID,,,
reports/phase33_best_fusion_monthly_table.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,89fae2323ec4,1.5,YES,VALID,,,
reports/phase33_best_fusion_stress_table.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,7e0cf0f179a7,3.3,YES,VALID,,,
reports/phase33_fusion_conflict_audit.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,487b0b460dd7,155.8,YES,VALID,,,
reports/phase33_fusion_source_contribution.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,f2095c4997f7,0.3,YES,VALID,,,
reports/phase33_benchmark_comparison.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,db2ac028a678,1.4,YES,VALID,,,
reports/phase33_acceptance_gate_results.csv,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,bd87d9ab56ae,0.3,YES,VALID,,,
reports/phase33_live_execution_readiness_delta.md,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,6942ee32a30a,0.8,YES,VALID,,,
reports/phase33_audit_manifest.json,phase33_artifact,33,Phase 33 cost robustness and fusion upgrade artifact,87402d84b465,3.4,YES,VALID,,,
reports/phase33_1_safety_snapshot.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,d5a9efdd3a9e,1.5,YES,VALID,,,
reports/phase33_1_phase33_damage_value_audit.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,5bed0c4ec5c4,0.2,YES,VALID,,,
reports/phase33_1_baseline_recovery_trade_log.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,e1262d4b8cb3,234.3,YES,VALID,,,
reports/phase33_1_baseline_recovery_metrics.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,da422de17c31,0.5,YES,VALID,,,
reports/phase33_1_baseline_recovery_monthly_table.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,ba574e154f4a,2.4,YES,VALID,,,
reports/phase33_1_baseline_recovery_reconciliation.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,cfd1dd74925c,0.4,YES,VALID,,,
reports/phase33_1_baseline_trade_integrity.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,4c82f231a8ec,0.6,YES,VALID,,,
reports/phase33_1_baseline_metric_recalculation.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,da422de17c31,0.5,YES,VALID,,,
reports/phase33_1_baseline_recovery_stress_table.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,e66ab74f11c9,1.4,YES,VALID,,,
reports/phase33_1_source_lock.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,ce7cfdc69cbd,1.9,YES,VALID,,,
reports/phase33_1_phase33_vs_baseline_comparison.csv,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,f86f34600341,0.4,YES,VALID,,,
reports/phase33_1_codex_reconciliation_baseline_recovery_and_truth_lock_report.md,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,c09d3c206717,2.1,YES,VALID,,,
reports/phase33_1_audit_manifest.json,phase33_1_artifact,33.1,Phase 33.1 reconciliation and baseline recovery artifact,0815dc90e3fb,2.2,YES,VALID,,,
reports/phase34_strategy_1_combined_router_v1_vault.md,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,7c4723e115e9,21.7,YES,VALID,,,
reports/phase34_strategy_1_trade_log_copy.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,e1262d4b8cb3,234.3,YES,VALID,,,
reports/phase34_strategy_1_reproduction_metrics.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,6b3bff838c6a,0.5,YES,VALID,,,
reports/phase34_strategy_1_reproduction_audit.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,6f994ea50c07,0.8,YES,VALID,,,
reports/phase34_strategy_1_integrity_audit.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,6f994ea50c07,0.8,YES,VALID,,,
reports/phase34_strategy_1_live_execution_audit.md,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,16270a525faf,0.5,YES,VALID,,,
reports/phase34_strategy_1_stress_retest.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,ce0b74fd6175,1.2,YES,VALID,,,
reports/phase34_candidate_registry.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,0b0bdd2dbc09,195.7,YES,VALID,,,
reports/phase34_candidate_results.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,f079f21bc101,856.5,YES,VALID,,,
reports/phase34_candidate_cluster_report.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,103142dfff38,15.2,YES,VALID,,,
reports/phase34_top_candidate_trade_logs_summary.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,0615de0b44d0,2.2,YES,VALID,,,
reports/phase34_candidate_integrity_audit.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,5b5060de8a9d,0.7,YES,VALID,,,
reports/phase34_selected_candidate_building_blocks.md,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,1b034b7dbba6,5.2,YES,VALID,,,
reports/phase34_diagnostic_fusion_preview.csv,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,0f4396e8acbb,0.8,YES,VALID,,,
reports/phase34_strategy_vault_and_candidate_discovery_report.md,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,4541c3e4c012,1.1,YES,VALID,,,
reports/phase34_audit_manifest.json,phase34_artifact,34,Phase 34 Strategy #1 vault and candidate discovery artifact,1f6bae51d1f7,3.6,YES,VALID,,,
reports/phase34_candidate_P34_0217_trade_log.csv,phase34_candidate_trade_log,34,Selected candidate trade log P34_0217,8770fd4760ef,173.8,YES,VALID,,,
reports/phase34_candidate_P34_0007_trade_log.csv,phase34_candidate_trade_log,34,Selected candidate trade log P34_0007,ad5faa4bd795,142.1,YES,VALID,,,
reports/phase34_candidate_P34_0219_trade_log.csv,phase34_candidate_trade_log,34,Selected candidate trade log P34_0219,3fb1d1af3f87,109.8,YES,VALID,,,
reports/phase34_candidate_P34_0218_trade_log.csv,phase34_candidate_trade_log,34,Selected candidate trade log P34_0218,f20126ff3edf,138.9,YES,VALID,,,
reports/phase34_candidate_P34_0002_trade_log.csv,phase34_candidate_trade_log,34,Selected candidate trade log P34_0002,a0eed28f98fa,179.4,YES,VALID,,,
reports/phase35_audit_manifest.json,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,2.3,,,15ed9cf934ce,YES,VALID
reports/phase35_building_block_decoder.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,2.4,,,8e2adcd3312d,YES,VALID
reports/phase35_diagnostic_fusion_preview.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,0.5,,,fc4067f59df0,YES,VALID
reports/phase35_independent_sleeve_conversion_and_fusion_readiness_report.md,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,1.6,,,b1f7457bd834,YES,VALID
reports/phase35_independent_sleeve_integrity_audit.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,4.0,,,eb7736030dd2,YES,VALID
reports/phase35_independent_sleeve_monthly_summary.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,28.9,,,40fbdf574077,YES,VALID
reports/phase35_independent_sleeve_results.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,4.5,,,18e7d2eef9c6,YES,VALID
reports/phase35_independent_sleeve_stress_summary.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,6.8,,,4ac8bc22ca60,YES,VALID
reports/phase35_independent_sleeve_trade_log_index.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,1.3,,,d9f73d2cfda0,YES,VALID
reports/phase35_P35_CONSERVATIVE_QUALITY_PLUS_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,97.8,,,ad1c215e3cc6,YES,VALID
reports/phase35_signal_level_sleeve_specs.md,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,5.0,,,22294f85cf5a,YES,VALID
reports/phase35_STRAT2_P35_COST_ATR_BREAKOUT_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,100.7,,,c8e1cbda0595,YES,VALID
reports/phase35_STRAT3_P35_PROJECTED_NET_R_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,62.6,,,fe3a8d35855a,YES,VALID
reports/phase35_STRAT4_P35_SESSION_EXPANSION_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,233.0,,,cc0ee1ea11c8,YES,VALID
reports/phase35_STRAT5_P35_STRESS_HARDENED_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,93.9,,,067251f5c08b,YES,VALID
reports/phase35_STRAT6_P35_LOW_R_FRICTION_trade_log.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,70.7,,,5d00d76aa453,YES,VALID
reports/phase35_strategy_2_to_6_candidate_vaults.md,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,0.1,,,9061f72bf2bf,YES,VALID
reports/phase35_strategy_correlation_and_complementarity.csv,phase35_artifact,35,Phase 35 independent sleeve conversion artifact,,0.8,,,468cdc1df65f,YES,VALID
reports/phase36_ablation_results.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,3.9,,,60498b783624,YES,VALID
reports/phase36_ai_sync_and_workspace_state.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,0.5,,,f18154108214,YES,VALID
reports/phase36_candidate_expansion_registry.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,747.4,,,30c4acb41612,YES,VALID
reports/phase36_candidate_expansion_results.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,855.7,,,6dc35d65062c,YES,VALID
reports/phase36_candidate_expansion_top_trade_logs_index.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,0.0,,,7eb70257593d,YES,VALID
reports/phase36_integrity_audit.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,0.7,,,1e6a8c1adaa5,YES,VALID
reports/phase36_monthly_comparison.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,4.0,,,cbcb6158f459,YES,VALID
reports/phase36_repair_module_results.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,1.9,,,b1cfe666f517,YES,VALID
reports/phase36_strategy1_1_candidate_bb_atr_cost_trade_log.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,241.7,,,a44625ac5e7a,YES,VALID
reports/phase36_strategy1_1_candidate_cost_session_trade_log.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,202.3,,,e504b8d0ae2d,YES,VALID
reports/phase36_strategy1_1_candidate_low_activity_offhours_trade_log.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,254.9,,,16590cc942ec,YES,VALID
reports/phase36_strategy1_1_candidate_projected_R_trade_log.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,257.6,,,c0c4ea3bba21,YES,VALID
reports/phase36_strategy1_1_candidate_results.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,2.1,,,185435ba3968,YES,VALID
reports/phase36_strategy1_1_mini_vault.md,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,0.1,,,929843824d69,YES,VALID
reports/phase36_strategy1_edge_map.md,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,3.3,,,3a21b2610e83,YES,VALID
reports/phase36_strategy1_internal_decomposition.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,10.1,,,53013489901f,YES,VALID
reports/phase36_strategy1_reproduction_lock.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,0.3,,,4fae0722f3af,YES,VALID
reports/phase36_stress_comparison.csv,phase36_artifact,36,Phase 36 Strategy #1 decomposition and repair artifact,,1.1,,,deda40a04561,YES,VALID
reports/phase37_ai_sync_and_workspace_state.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.3,,,872caeef102c,YES,VALID
reports/phase37_candidate_registry.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,932.1,,,c327ec111fda,YES,VALID
reports/phase37_candidate_results.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,1077.9,,,9aad82a843d6,YES,VALID
reports/phase37_execution_queue_status.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.1,,,5313d55cad39,YES,VALID
reports/phase37_multi_objective_leaderboard.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,4.0,,,bad34512894d,YES,VALID
reports/phase37_P37_CAND_0001_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,298.5,,,983ca33ef979,YES,VALID
reports/phase37_P37_CAND_0142_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,194.4,,,b06e1f4bb8f0,YES,VALID
reports/phase37_P37_CAND_0303_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,200.7,,,fb8f3664c290,YES,VALID
reports/phase37_P37_CAND_0357_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,222.0,,,3a8be9b7a204,YES,VALID
reports/phase37_P37_CAND_0360_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,216.5,,,2640513dd1ce,YES,VALID
reports/phase37_P37_CAND_0361_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,211.9,,,1812b1bf2541,YES,VALID
reports/phase37_P37_CAND_0362_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,211.3,,,08263822cd10,YES,VALID
reports/phase37_P37_CAND_0411_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,188.4,,,b8ca32035f46,YES,VALID
reports/phase37_P37_CAND_0412_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,180.6,,,3e304dc217df,YES,VALID
reports/phase37_P37_CAND_0413_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,159.4,,,5072824cd2e0,YES,VALID
reports/phase37_research_candidate_vaults.md,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.1,,,e38bbb7a7c1d,YES,VALID
reports/phase37_strategy1_1_mini_vault.md,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,1.1,,,c530b6a6c21b,YES,VALID
reports/phase37_strategy1_1_selection_decision.md,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.1,,,3f5e6eebc5d1,YES,VALID
reports/phase37_strategy1_1_trade_log.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,222.0,,,3a8be9b7a204,YES,VALID
reports/phase37_strategy1_reproduction_lock.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.2,,,759b9012b140,YES,VALID
reports/phase37_strategy1_vs_strategy1_1_comparison.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,0.4,,,45a0bdcbfeb6,YES,VALID
reports/phase37_top_candidate_integrity_audit.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,5.5,,,ba11cacd8c8e,YES,VALID
reports/phase37_top_candidate_stress_results.csv,phase37_artifact,37,Phase 37 Strategy #1.1 second-stage optimization artifact,,9.3,,,77fb6d9754ce,YES,VALID
reports/phase38_antigravity_sync_audit.csv,phase38_artifact,38,Antigravity sync audit report,computed_on_read,0.2,YES,VALID,,,
